"Pump prices motor fuels; location petrol station, type fuel";;;
;;;
;;;
Topic;Fuel price local unmanned petrol station;Fuel price local unmanned petrol station;Fuel price local unmanned petrol station
Motor fuel;Euro 95;Transport diesel;LPG
Periods;euro/litre;euro/litre;euro/litre
2018-01;1.551;1.257;
2018-02;1.528;1.219;
2018-03;1.506;1.225;
2018-04;1.570;1.266;
2018-05;1.629;1.324;
2018-06;1.621;1.327;
2018-07;1.622;1.320;
2018-08;1.644;1.324;
2018-09;1.641;1.347;
2018-10;1.618;1.380;
2018-11;1.543;1.341;
2018-12;1.474;1.262;
2019-01;1.509;1.271;
2019-02;1.543;1.311;
2019-03;1.584;1.329;
2019-04;1.668;1.345;
2019-05;1.688;1.359;
2019-06;1.625;1.297;
2019-07;1.635;1.308;
2019-08;1.613;1.293;
2019-09;1.610;1.330;
2019-10;1.606;1.333;
2019-11;1.617;1.331;
2019-12;1.624;1.349;
2020-01;1.657;1.375;
2020-02;1.623;1.320;
2020-03;1.524;1.228;
2020-04;1.426;1.185;
2020-05;1.441;1.157;
2020-06;1.494;1.160;
2020-07;1.516;1.177;
2020-08;1.519;1.165;
2020-09;1.518;1.124;
2020-10;1.512;1.129;
2020-11;1.479;1.142;
2020-12;1.507;1.188;
2021-01;1.568;1.250;
2021-02;1.628;1.313;
2021-03;1.683;1.353;
2021-04;1.700;1.348;
2021-05;1.726;1.369;
2021-06;1.746;1.401;
2021-07;1.786;1.424;
2021-08;1.790;1.418;
2021-09;1.804;1.448;
2021-10;1.895;1.566;
2021-11;1.957;1.599;
2021-12;1.919;1.561;
2022-01;1.951;1.626;
2022-02;2.009;1.704;
2022-03;2.250;2.077;
2022-04;2.048;1.963;
2022-05;2.147;1.954;
2022-06;2.312;2.104;
2022-07;2.169;2.028;
2022-08;2.023;1.936;
2022-09;1.924;1.959;
2022-10;1.955;2.039;
2022-11;1.872;1.886;
2022-12;1.718;1.712;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
