"Pompprijzen motorbrandstoffen; locatie tankstation, brandstofsoort";;;
;;;
;;;
Onderwerp;Gemiddelde pompprijs;Gemiddelde pompprijs;Gemiddelde pompprijs
Motorbrandstof;Benzine Euro95;Diesel;Lpg
Perioden;euro/liter;euro/liter;euro/liter
2018-01;1.589;1.292;0.696
2018-02;1.566;1.254;0.667
2018-03;1.545;1.26;0.654
2018-04;1.608;1.301;0.663
2018-05;1.668;1.36;0.675
2018-06;1.66;1.362;0.681
2018-07;1.661;1.356;0.688
2018-08;1.683;1.359;0.692
2018-09;1.68;1.384;0.714
2018-10;1.657;1.417;0.744
2018-11;1.583;1.378;0.701
2018-12;1.512;1.297;0.65
2019-01;1.545;1.304;0.634
2019-02;1.578;1.345;0.646
2019-03;1.619;1.362;0.656
2019-04;1.702;1.378;0.664
2019-05;1.724;1.392;0.664
2019-06;1.663;1.333;0.637
2019-07;1.672;1.344;0.62
2019-08;1.65;1.329;0.593
2019-09;1.648;1.366;0.577
2019-10;1.643;1.369;0.607
2019-11;1.657;1.369;0.636
2019-12;1.663;1.386;0.661
2020-01;1.697;1.413;0.697
2020-02;1.664;1.359;0.668
2020-03;1.567;1.268;0.607
2020-04;1.468;1.224;0.547
2020-05;1.482;1.196;0.54
2020-06;1.539;1.202;0.574
2020-07;1.561;1.219;0.59
2020-08;1.564;1.207;0.589
2020-09;1.564;1.167;0.583
2020-10;1.558;1.172;0.616
2020-11;1.525;1.185;0.622
2020-12;1.553;1.233;0.627
2021-01;1.615;1.289;0.674
2021-02;1.676;1.354;0.706
2021-03;1.73;1.392;0.739
2021-04;1.746;1.387;0.74
2021-05;1.773;1.409;0.74
2021-06;1.793;1.44;0.734
2021-07;1.832;1.463;0.751
2021-08;1.836;1.457;0.758
2021-09;1.852;1.489;0.792
2021-10;1.942;1.608;0.889
2021-11;2.004;1.638;0.937
2021-12;1.968;1.601;0.929
2022-01;1.989;1.666;0.911
2022-02;2.049;1.744;0.918
2022-03;2.29;2.118;1.089
2022-04;2.088;2.002;1.109
2022-05;2.187;1.993;1.073
2022-06;2.353;2.143;1.007
2022-07;2.209;2.068;0.9
2022-08;2.065;1.974;0.849
2022-09;1.967;1.999;0.841
2022-10;1.995;2.076;0.834
2022-11;1.912;1.925;0.824
2022-12;1.759;1.751;0.796
Bron: CBS, Travelcard BV;;;
