"Pump prices motor fuels; location petrol station, type fuel";;;
;;;
;;;
Topic;Fuel price highway manned petrol station;Fuel price highway manned petrol station;Fuel price highway manned petrol station
Motor fuel;Euro 95;Transport diesel;LPG
Periods;euro/litre;euro/litre;euro/litre
2018-01;1.681;1.376;0.748
2018-02;1.657;1.336;0.717
2018-03;1.637;1.344;0.708
2018-04;1.701;1.385;0.717
2018-05;1.761;1.445;0.730
2018-06;1.752;1.445;0.730
2018-07;1.754;1.438;0.740
2018-08;1.776;1.442;0.745
2018-09;1.773;1.467;0.763
2018-10;1.749;1.501;0.795
2018-11;1.676;1.461;0.746
2018-12;1.605;1.379;0.694
2019-01;1.642;1.391;0.677
2019-02;1.674;1.433;0.694
2019-03;1.716;1.449;0.706
2019-04;1.798;1.464;0.713
2019-05;1.819;1.479;0.711
2019-06;1.765;1.428;0.690
2019-07;1.776;1.441;0.679
2019-08;1.757;1.428;0.642
2019-09;1.754;1.465;0.631
2019-10;1.750;1.468;0.668
2019-11;1.768;1.472;0.692
2019-12;1.772;1.488;0.720
2020-01;1.808;1.517;0.754
2020-02;1.777;1.464;0.722
2020-03;1.679;1.372;0.662
2020-04;1.582;1.327;0.592
2020-05;1.595;1.299;0.594
2020-06;1.659;1.313;0.635
2020-07;1.682;1.329;0.653
2020-08;1.686;1.317;0.648
2020-09;1.685;1.277;0.641
2020-10;1.682;1.284;0.668
2020-11;1.650;1.301;0.677
2020-12;1.681;1.351;0.684
2021-01;1.745;1.409;0.753
2021-02;1.806;1.477;0.783
2021-03;1.858;1.509;0.818
2021-04;1.874;1.502;0.815
2021-05;1.902;1.529;0.818
2021-06;1.927;1.561;0.810
2021-07;1.961;1.581;0.821
2021-08;1.966;1.578;0.831
2021-09;1.981;1.617;0.869
2021-10;2.069;1.736;0.968
2021-11;2.133;1.760;1.009
2021-12;2.106;1.722;1.002
2022-01;2.123;1.798;0.944
2022-02;2.182;1.876;0.952
2022-03;2.421;2.249;1.132
2022-04;2.223;2.130;1.149
2022-05;2.323;2.121;1.107
2022-06;2.490;2.276;1.034
2022-07;2.348;2.198;0.943
2022-08;2.205;2.103;0.888
2022-09;2.115;2.133;0.882
2022-10;2.137;2.209;0.877
2022-11;2.054;2.057;0.860
2022-12;1.903;1.885;0.833
