"Pump prices motor fuels; location petrol station, type fuel";;;
;;;
;;;
Topic;Fuel price local manned petrol station;Fuel price local manned petrol station;Fuel price local manned petrol station
Motor fuel;Euro 95;Transport diesel;LPG
Periods;euro/litre;euro/litre;euro/litre
2018-01;1.588;1.294;0.676
2018-02;1.565;1.256;0.647
2018-03;1.544;1.261;0.633
2018-04;1.606;1.303;0.642
2018-05;1.666;1.362;0.654
2018-06;1.660;1.365;0.662
2018-07;1.659;1.358;0.668
2018-08;1.681;1.362;0.672
2018-09;1.679;1.387;0.696
2018-10;1.656;1.419;0.724
2018-11;1.581;1.380;0.683
2018-12;1.508;1.300;0.631
2019-01;1.543;1.307;0.618
2019-02;1.577;1.349;0.628
2019-03;1.618;1.366;0.637
2019-04;1.700;1.380;0.644
2019-05;1.722;1.395;0.646
2019-06;1.661;1.336;0.615
2019-07;1.669;1.347;0.598
2019-08;1.646;1.330;0.574
2019-09;1.644;1.368;0.556
2019-10;1.640;1.371;0.584
2019-11;1.655;1.371;0.615
2019-12;1.661;1.389;0.638
2020-01;1.694;1.416;0.675
2020-02;1.661;1.361;0.647
2020-03;1.565;1.271;0.586
2020-04;1.467;1.229;0.531
2020-05;1.479;1.200;0.520
2020-06;1.537;1.206;0.552
2020-07;1.559;1.223;0.567
2020-08;1.562;1.212;0.568
2020-09;1.564;1.173;0.562
2020-10;1.556;1.177;0.596
2020-11;1.522;1.190;0.601
2020-12;1.550;1.238;0.605
2021-01;1.612;1.299;0.645
2021-02;1.673;1.365;0.678
2021-03;1.727;1.402;0.712
2021-04;1.743;1.397;0.713
2021-05;1.771;1.419;0.714
2021-06;1.789;1.449;0.707
2021-07;1.829;1.473;0.726
2021-08;1.833;1.467;0.731
2021-09;1.850;1.499;0.765
2021-10;1.940;1.617;0.861
2021-11;2.000;1.647;0.910
2021-12;1.965;1.611;0.903
2022-01;1.992;1.678;0.902
2022-02;2.054;1.757;0.908
2022-03;2.296;2.132;1.078
2022-04;2.094;2.015;1.098
2022-05;2.193;2.005;1.066
2022-06;2.358;2.155;1.003
2022-07;2.215;2.082;0.889
2022-08;2.071;1.986;0.839
2022-09;1.974;2.010;0.831
2022-10;1.999;2.084;0.821
2022-11;1.916;1.938;0.815
2022-12;1.762;1.762;0.787
